VO & PN,1859,interacting,20.0,2.06e-9,0.73,0.63
VS & VO,1986,interacting,14.3,6.16e-7,0.26,0.49
PN & NG,1677,interacting,12.43,4.63e-6,0.62,0.55
VS & NG,1712,interacting,11.32,1.67e-5,0.3,0.44
VS & PN,1897,interacting,10.06,5.95e-5,0.24,0.45
VO & NG,1668,interacting,9.94,0.000108,0.59,0.4
NA & NNum,1494,interacting,9.82,0.000162,0.55,0.45
VO & NRc,1405,interacting,8.87,0.000303,-0.49,0.38
ND & NNum,1651,interacting,8.14,0.000595,0.51,0.36
NA & NRc,1252,interacting,5.74,0.00381,-0.37,0.36
PN & NRc,1440,unknown,4.71,0.0127,-0.51,0.29
NA & ND,1461,unknown,4.23,0.027,0.56,0.25
NNum & NRc,1354,unknown,3.51,0.0561,-0.21,0.28
NG & NRc,1282,unknown,3.1,0.0994,-0.5,0.25
PN & NA,1554,unknown,2.4,0.182,0.24,-0.2
VS & NNum,1784,unknown,2.19,0.383,-0.33,-0.18
VS & NRc,1440,unknown,2.19,0.283,-0.16,0.2
VO & NNum,1741,unknown,1.74,0.532,0.02,-0.18
VO & NA,1540,unknown,1.08,0.785,0.19,-0.15
ND & NRc,1342,unknown,0.75,1.0,-0.45,0.16
NG & NA,1424,unknown,-0.32,1.0,0.27,-0.11
PN & NNum,1750,unknown,-0.58,1.0,0.02,-0.1
VS & NA,1580,unknown,-0.85,1.0,-0.05,-0.08
NG & ND,1573,unknown,-1.07,1.0,0.47,0.07
NG & NNum,1579,unknown,-1.19,1.0,0.07,0.06
PN & ND,1729,unknown,-1.52,1.0,0.43,0.01
VO & ND,1727,unknown,-1.58,1.0,0.39,0.01
VS & ND,1769,unknown,-1.62,1.0,0.01,0.01
